@RELATION devices
@ATTRIBUTE sensor_id REAL
@ATTRIBUTE data REAL
@ATTRIBUTE microstamp REAL
@ATTRIBUTE device_microstamp REAL
@ATTRIBUTE class {microwave, tv}
@DATA
54,-24,1414370152082500,1414370152082500,tv
54,-48,1414370152082917,1414370152082917,tv
54,-58,1414370152083334,1414370152083334,tv
54,-76,1414370152083751,1414370152083751,tv
54,-92,1414370152084168,1414370152084168,tv
54,-122,1414370152084584,1414370152084584,tv
54,-131,1414370152085001,1414370152085001,tv
54,-127,1414370152085418,1414370152085418,tv
54,-124,1414370152085834,1414370152085834,tv
54,-131,1414370152086251,1414370152086251,tv
54,-116,1414370152086668,1414370152086668,tv
54,-131,1414370152087085,1414370152087085,tv
54,-119,1414370152087502,1414370152087502,tv
54,-128,1414370152087918,1414370152087918,tv
54,-95,1414370152088335,1414370152088335,tv
54,-75,1414370152088752,1414370152088752,tv
54,-52,1414370152089168,1414370152089168,tv
54,-20,1414370152089585,1414370152089585,tv
54,4,1414370152090002,1414370152090002,tv
54,2,1414370152090419,1414370152090419,tv
54,17,1414370152090836,1414370152090836,tv
54,44,1414370152091252,1414370152091252,tv
54,55,1414370152091669,1414370152091669,tv
54,76,1414370152092086,1414370152092086,tv
54,99,1414370152092502,1414370152092502,tv
54,95,1414370152092919,1414370152092919,tv
54,111,1414370152093336,1414370152093336,tv
54,112,1414370152093753,1414370152093753,tv
54,127,1414370152094170,1414370152094170,tv
54,121,1414370152094586,1414370152094586,tv
54,111,1414370152095003,1414370152095003,tv
54,110,1414370152095420,1414370152095420,tv
54,108,1414370152095836,1414370152095836,tv
54,-5,1414370152096253,1414370152096253,tv
54,4,1414370152096670,1414370152096670,tv
54,4,1414370152097087,1414370152097087,tv
54,-2,1414370152097504,1414370152097504,tv
54,-3,1414370152097920,1414370152097920,tv
54,-1,1414370152098337,1414370152098337,tv
54,-6,1414370152098754,1414370152098754,tv
54,4,1414370152099170,1414370152099170,tv
54,3,1414370152099587,1414370152099587,tv
54,-8,1414370152100004,1414370152100004,tv
54,-3,1414370152100421,1414370152100421,tv
54,-2,1414370152100838,1414370152100838,tv
54,4,1414370152101254,1414370152101254,tv
54,-3,1414370152101671,1414370152101671,tv
54,0,1414370152102088,1414370152102088,tv
54,1,1414370152102504,1414370152102504,tv
54,-3,1414370152102921,1414370152102921,tv
54,0,1414370152103338,1414370152103338,tv
54,5,1414370152103755,1414370152103755,tv
54,-2,1414370152104172,1414370152104172,tv
54,-3,1414370152104588,1414370152104588,tv
54,-1,1414370152105005,1414370152105005,tv
54,0,1414370152105422,1414370152105422,tv
54,3,1414370152105838,1414370152105838,tv
54,1,1414370152106255,1414370152106255,tv
54,-1,1414370152106672,1414370152106672,tv
54,6,1414370152107089,1414370152107089,tv
54,4,1414370152107506,1414370152107506,tv
54,3,1414370152107922,1414370152107922,tv
54,5,1414370152108339,1414370152108339,tv
54,3,1414370152108756,1414370152108756,tv
54,0,1414370152109172,1414370152109172,tv
54,0,1414370152109589,1414370152109589,tv
54,3,1414370152110006,1414370152110006,tv
54,0,1414370152110423,1414370152110423,tv
54,7,1414370152110840,1414370152110840,tv
54,1,1414370152111256,1414370152111256,tv
54,1,1414370152111673,1414370152111673,tv
54,-3,1414370152112090,1414370152112090,tv
54,-2,1414370152112506,1414370152112506,tv
54,4,1414370152112923,1414370152112923,tv
54,3,1414370152113340,1414370152113340,tv
54,-1,1414370152113757,1414370152113757,tv
54,-1,1414370152114174,1414370152114174,tv
54,-5,1414370152114590,1414370152114590,tv
54,-1,1414370152115007,1414370152115007,tv
54,-1,1414370152115424,1414370152115424,tv
54,4,1414370152115840,1414370152115840,tv
54,-1,1414370152116257,1414370152116257,tv
54,2,1414370152116674,1414370152116674,tv
54,0,1414370152117091,1414370152117091,tv
54,-3,1414370152117508,1414370152117508,tv
54,2,1414370152117924,1414370152117924,tv
54,1,1414370152118341,1414370152118341,tv
54,-1,1414370152118758,1414370152118758,tv
54,0,1414370152119174,1414370152119174,tv
54,-1,1414370152119591,1414370152119591,tv
54,-1,1414370152120008,1414370152120008,tv
54,-4,1414370152120425,1414370152120425,tv
54,4,1414370152120842,1414370152120842,tv
54,-2,1414370152121258,1414370152121258,tv
54,1,1414370152121675,1414370152121675,tv
54,5,1414370152122092,1414370152122092,tv
54,-1,1414370152122508,1414370152122508,tv
54,1,1414370152122925,1414370152122925,tv
54,0,1414370152123342,1414370152123342,tv
54,1,1414370152123759,1414370152123759,tv
54,-1,1414370152124176,1414370152124176,tv
54,3,1414370152124592,1414370152124592,tv
54,-1,1414370152125009,1414370152125009,tv
54,0,1414370152125426,1414370152125426,tv
54,5,1414370152125842,1414370152125842,tv
54,0,1414370152126259,1414370152126259,tv
54,4,1414370152126676,1414370152126676,tv
54,5,1414370152127093,1414370152127093,tv
54,0,1414370152127510,1414370152127510,tv
54,4,1414370152127926,1414370152127926,tv
54,-2,1414370152128343,1414370152128343,tv
54,-1,1414370152128760,1414370152128760,tv
54,3,1414370152129176,1414370152129176,tv
54,0,1414370152129593,1414370152129593,tv
54,2,1414370152130010,1414370152130010,tv
54,2,1414370152130427,1414370152130427,tv
54,0,1414370152130844,1414370152130844,tv
54,-3,1414370152131260,1414370152131260,tv
54,0,1414370152131677,1414370152131677,tv
54,0,1414370152132094,1414370152132094,tv
54,5,1414370152132510,1414370152132510,tv
54,0,1414370152132927,1414370152132927,tv
54,-1,1414370152133344,1414370152133344,tv
54,-1,1414370152133761,1414370152133761,tv
54,0,1414370152134178,1414370152134178,tv
54,5,1414370152134594,1414370152134594,tv
54,-4,1414370152135011,1414370152135011,tv
54,1,1414370152135428,1414370152135428,tv
54,1,1414370152135844,1414370152135844,tv
54,0,1414370152136261,1414370152136261,tv
54,-4,1414370152136678,1414370152136678,tv
54,-4,1414370152137095,1414370152137095,tv
54,-2,1414370152137512,1414370152137512,tv
54,0,1414370152137928,1414370152137928,tv
54,3,1414370152138345,1414370152138345,tv
54,-2,1414370152138762,1414370152138762,tv
54,4,1414370152139178,1414370152139178,tv
54,5,1414370152139595,1414370152139595,tv
54,0,1414370152140012,1414370152140012,tv
54,4,1414370152140429,1414370152140429,tv
54,6,1414370152140846,1414370152140846,tv
54,4,1414370152141262,1414370152141262,tv
54,4,1414370152141679,1414370152141679,tv
54,5,1414370152142096,1414370152142096,tv
54,2,1414370152142512,1414370152142512,tv
54,5,1414370152142929,1414370152142929,tv
54,1,1414370152143346,1414370152143346,tv
54,-3,1414370152143763,1414370152143763,tv
54,-1,1414370152144180,1414370152144180,tv
54,-3,1414370152144596,1414370152144596,tv
54,4,1414370152145013,1414370152145013,tv
54,0,1414370152145430,1414370152145430,tv
54,-2,1414370152145846,1414370152145846,tv
54,8,1414370152146263,1414370152146263,tv
54,1,1414370152146680,1414370152146680,tv
54,0,1414370152147097,1414370152147097,tv
54,2,1414370152147514,1414370152147514,tv
54,4,1414370152147930,1414370152147930,tv
54,-4,1414370152148347,1414370152148347,tv
54,1,1414370152148764,1414370152148764,tv
54,0,1414370152149180,1414370152149180,tv
54,4,1414370152149597,1414370152149597,tv
54,1,1414370152150014,1414370152150014,tv
54,1,1414370152150431,1414370152150431,tv
54,0,1414370152150848,1414370152150848,tv
54,4,1414370152151264,1414370152151264,tv
54,4,1414370152151681,1414370152151681,tv
54,1,1414370152152098,1414370152152098,tv
54,0,1414370152152514,1414370152152514,tv
54,2,1414370152152931,1414370152152931,tv
54,4,1414370152153348,1414370152153348,tv
54,-1,1414370152153765,1414370152153765,tv
54,-3,1414370152154182,1414370152154182,tv
54,2,1414370152154598,1414370152154598,tv
54,2,1414370152155015,1414370152155015,tv
54,1,1414370152155432,1414370152155432,tv
54,-2,1414370152155848,1414370152155848,tv
54,2,1414370152156265,1414370152156265,tv
54,1,1414370152156682,1414370152156682,tv
54,7,1414370152157099,1414370152157099,tv
54,6,1414370152157516,1414370152157516,tv
54,0,1414370152157932,1414370152157932,tv
54,4,1414370152158349,1414370152158349,tv
54,0,1414370152158766,1414370152158766,tv
54,-1,1414370152159182,1414370152159182,tv
54,2,1414370152159599,1414370152159599,tv
54,4,1414370152160016,1414370152160016,tv
54,4,1414370152160433,1414370152160433,tv
54,4,1414370152160850,1414370152160850,tv
54,2,1414370152161266,1414370152161266,tv
54,-4,1414370152161683,1414370152161683,tv
54,-8,1414370152162100,1414370152162100,tv
54,1,1414370152162516,1414370152162516,tv
54,0,1414370152162933,1414370152162933,tv
54,0,1414370152286586,1414370152286586,tv
54,4,1414370152287003,1414370152287003,tv
54,6,1414370152287420,1414370152287420,tv
